uk_population_rank,fua_code,official_fua_name,study_city_label,population_year,population,observation_status,source_dataset,source_dataset_url,territorial_definition,captured_at_utc
1,UK001F,London,London,2021,12274097,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
2,UK008F,Manchester,Manchester,2021,3432092,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
3,UK002F,West Midlands urban area,Birmingham,2021,3135994,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
4,UK003F,Leeds,Leeds,2021,2969034,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
5,UK004F,Glasgow,Glasgow,2021,1831890,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
6,UK006F,Liverpool,Liverpool,2021,1540817,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
7,UK013F,Newcastle upon Tyne,Newcastle,2021,1173303,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
8,UK010F,Sheffield,Sheffield,2021,1168389,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
9,UK011F,Bristol,Bristol,2021,979556,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
10,UK014F,Leicester,Leicester,2021,922812,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
11,UK029F,Nottingham,Nottingham,2021,906878,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
12,UK009F,Cardiff,Cardiff,2021,905859,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
13,UK007F,Edinburgh,Edinburgh,2021,893610,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
14,UK012F,Belfast,Belfast,2021,803943,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
15,UK025F,Coventry,Coventry,2021,741982,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
16,UK520F,Southampton,Southampton,2021,692010,A,OECD Population by age and sex - Cities and FUAs,https://data-explorer.oecd.org/vis?df%5Bag%5D=OECD.CFE.EDS&df%5Bds%5D=dsDisseminateFinalDMZ&df%5Bid%5D=DSD_FUA_DEMO%40DF_AGE_SEX&lc=en,OECD/EU Functional Urban Area,2026-07-18T20:13:04.592172+00:00
